time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-23T01:19:54.500Z,40.779,-112.044,8.43,1.9,md,15,112,0.0364,0.13,uu,uu60369067,2020-03-23T04:08:57.562Z,"9km NNE of Magna, Utah",earthquake,0.33,0.64,0.261,9,reviewed,uu,uu
2020-03-23T01:17:15.310Z,40.779,-112.053,9.98,3.94,ml,44,52,0.01894,0.19,uu,uu60369062,2020-03-23T04:18:16.147Z,"8km NNE of Magna, Utah",earthquake,0.28,0.44,0.205,20,reviewed,uu,uu
2020-03-23T00:27:12.480Z,40.7458333,-112.0708333,7.32,1.36,ml,21,47,0.009484,0.21,uu,uu60369047,2020-03-23T02:37:01.650Z,"4km NNE of Magna, Utah",earthquake,0.34,0.97,0.081,2,reviewed,uu,uu
2020-03-22T22:59:17.080Z,40.7553333,-112.0591667,7.96,1.04,md,17,59,0.01459,0.12,uu,uu60369027,2020-03-23T02:36:18.610Z,"6km NE of Magna, Utah",earthquake,0.24,0.66,0.202,9,reviewed,uu,uu
2020-03-22T20:55:02.190Z,40.7361667,-112.0773333,9.85,1.5,ml,21,46,0.01732,0.16,uu,uu60368997,2020-03-23T02:35:33.620Z,"3km NE of Magna, Utah",earthquake,0.34,0.79,0.259,2,reviewed,uu,uu
2020-03-22T15:50:15.630Z,40.7511667,-112.0671667,7.89,2.79,ml,45,49,0.008709,0.18,uu,uu60368937,2020-03-23T04:20:44.339Z,"5km NNE of Magna, Utah",earthquake,0.23,1,0.252,17,reviewed,uu,uu
2020-03-22T13:11:14.490Z,40.7905,-112.0791667,11.03,1.51,ml,16,57,0.01983,0.15,uu,uu60368907,2020-03-22T19:19:00.260Z,"9km NNE of Magna, Utah",earthquake,0.71,0.84,0.206,3,reviewed,uu,uu
2020-03-22T08:57:14.360Z,40.733,-112.0786667,10.98,2.07,ml,29,46,0.02047,0.14,uu,uu60368817,2020-03-23T01:35:25.766Z,"3km NE of Magna, Utah",earthquake,0.29,0.59,0.07,10,reviewed,uu,uu
2020-03-22T08:54:18.580Z,40.7365,-112.0625,8.55,1.74,ml,48,45,0.02075,0.23,uu,uu60368812,2020-03-22T19:20:35.030Z,"4km NE of Magna, Utah",earthquake,0.27,0.7,0.198,6,reviewed,uu,uu
2020-03-22T08:31:36.700Z,40.7375,-112.0588333,9.15,2.18,ml,31,44,0.02173,0.14,uu,uu60368802,2020-03-23T03:48:06.480Z,"5km NE of Magna, Utah",earthquake,0.27,0.63,0.119,10,reviewed,uu,uu
2020-03-22T04:41:36.190Z,40.7411667,-112.0658333,8.51,1.62,ml,38,46,0.01549,0.21,uu,uu60368732,2020-03-22T23:35:22.932Z,"4km NE of Magna, Utah",earthquake,0.27,0.65,0.337,3,reviewed,uu,uu
2020-03-22T03:44:53.130Z,40.7513333,-112.0756667,8.27,1.8,ml,24,50,0.002896,0.16,uu,uu60368702,2020-03-22T23:34:21.249Z,"7km NNE of Magna, Utah",earthquake,0.34,0.62,0.073,6,reviewed,uu,uu
2020-03-22T02:56:35.660Z,40.7566667,-112.0435,5.58,1.83,ml,25,51,0.02431,0.14,uu,uu60368672,2020-03-22T23:32:38.434Z,"8km NE of Magna, Utah",earthquake,0.23,0.84,0.203,5,reviewed,uu,uu
2020-03-21T22:42:18.600Z,40.7506667,-112.048,8.49,1.04,md,9,107,0.02313,0.07,uu,uu60368607,2020-03-22T01:03:33.970Z,"6km NE of Magna, Utah",earthquake,0.39,0.9,0.285,6,reviewed,uu,uu
2020-03-21T16:59:31.930Z,40.7433333,-112.0635,10.27,3.37,ml,44,46,0.0151,0.2,uu,uu60368447,2020-03-23T04:21:04.827Z,"5km NE of Magna, Utah",earthquake,0.3,0.46,0.244,22,reviewed,uu,uu
2020-03-21T14:15:56.490Z,40.7541667,-112.0638333,10.15,2.41,ml,55,32,0.01095,0.2,uu,uu60368387,2020-03-22T22:33:20.040Z,"5km NNE of Magna, Utah",earthquake,0.24,0.51,0.15,12,reviewed,uu,uu
2020-03-21T09:06:40.800Z,40.7686667,-112.0773333,9.93,2.92,ml,48,54,0.01518,0.15,uu,uu60368252,2020-03-23T02:14:22.005Z,"7km NNE of Magna, Utah",earthquake,0.24,0.45,0.138,15,reviewed,uu,uu
2020-03-21T08:19:00.150Z,40.7373333,-112.0491667,9.58,1.44,ml,12,87,0.02734,0.07,uu,uu60368237,2020-03-22T19:27:49.550Z,"5km NE of Magna, Utah",earthquake,0.35,0.49,0.208,4,reviewed,uu,uu
2020-03-21T06:50:46.430Z,40.771,-112.0566667,7.89,1.53,ml,19,72,0.02279,0.12,uu,uu60368202,2020-03-22T22:18:00.040Z,"8km NNE of Magna, Utah",earthquake,0.35,0.61,0.103,4,reviewed,uu,uu
2020-03-21T06:22:23.250Z,40.7465,-112.0478333,9.04,1.82,ml,46,44,0.02154,0.24,uu,uu60368197,2020-03-21T22:40:40.870Z,"6km NE of Magna, Utah",earthquake,0.27,0.68,0.114,9,reviewed,uu,uu
2020-03-21T06:17:56.380Z,40.7448333,-112.0515,9.86,1.63,ml,35,54,0.02145,0.22,uu,uu60368192,2020-03-22T01:05:19.130Z,"5km NE of Magna, Utah",earthquake,0.38,0.6,0.164,7,reviewed,uu,uu
2020-03-21T01:27:51.660Z,40.7481667,-112.0446667,10.11,2.48,ml,53,42,0.02222,0.19,uu,uu60368007,2020-03-21T19:44:24.858Z,"8km NE of Magna, Utah",earthquake,0.23,0.55,0.179,17,reviewed,uu,uu
2020-03-21T01:10:45.330Z,40.747,-112.0475,9.91,2.26,ml,58,39,0.02189,0.2,uu,uu60367992,2020-03-21T16:25:54.540Z,"6km NE of Magna, Utah",earthquake,0.23,0.52,0.122,12,reviewed,uu,uu
